https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.75072E+12,24-06-2025 00:00,BTC/USD,105520,106340,104810,106110,21086687.92,198.7247943
1.75064E+12,23-06-2025 00:00,BTC/USD,101170,106210,99830,105540,108623871.8,1029.219933
1.75055E+12,22-06-2025 00:00,BTC/USD,102250,103470,98579,101200,218217126.9,2156.295721
1.75046E+12,21-06-2025 00:00,BTC/USD,103370,104120,101020,102220,76045451.07,743.9390635
1.75038E+12,20-06-2025 00:00,BTC/USD,104790,106580,102490,103360,75518561.21,730.6362346
1.75029E+12,19-06-2025 00:00,BTC/USD,105060,105340,104080,104780,50097089.29,478.1169049
1.7502E+12,18-06-2025 00:00,BTC/USD,104770,105660,103630,105050,111525537.1,1061.642428
1.75012E+12,17-06-2025 00:00,BTC/USD,106870,107780,103460,104760,81046781.44,773.6424346
1.75003E+12,16-06-2025 00:00,BTC/USD,105740,109030,105190,106830,31128740.67,291.3857594
1.74995E+12,15-06-2025 00:00,BTC/USD,105610,106260,104710,105740,37784927.89,357.3380735
1.74986E+12,14-06-2025 00:00,BTC/USD,106110,106200,104480,105600,36021018.65,341.1081312
1.74977E+12,13-06-2025 00:00,BTC/USD,105690,106250,102660,106090,69009766.29,650.4832339
1.74969E+12,12-06-2025 00:00,BTC/USD,108590,108740,105700,105700,33153340.06,313.6550621
1.7496E+12,11-06-2025 00:00,BTC/USD,110160,110270,108010,108610,41938404.86,386.1376012
1.74951E+12,10-06-2025 00:00,BTC/USD,110300,110320,108310,110180,33155463.69,300.9208903
1.74943E+12,09-06-2025 00:00,BTC/USD,105800,110680,105440,110290,39024630.66,353.8365279
1.74934E+12,08-06-2025 00:00,BTC/USD,105680,106550,105040,105830,11229061.28,106.1047083
1.74925E+12,07-06-2025 00:00,BTC/USD,104460,106000,104020,105680,11726300.66,110.9604528
1.74917E+12,06-06-2025 00:00,BTC/USD,101680,105400,101270,104450,59293784.7,567.6762537
1.74908E+12,05-06-2025 00:00,BTC/USD,104590,105860,100520,101680,195842348.5,1926.065584
1.749E+12,04-06-2025 00:00,BTC/USD,105370,105940,104250,104580,22645499.96,216.5375785
1.74891E+12,03-06-2025 00:00,BTC/USD,105870,106800,104880,105400,34021191.61,322.7817041
1.74882E+12,02-06-2025 00:00,BTC/USD,105670,105990,103670,105880,35871104.35,338.7901809
1.74874E+12,01-06-2025 00:00,BTC/USD,104640,105870,103790,105630,14583591.83,138.0629729
1.74865E+12,31-05-2025 00:00,BTC/USD,104000,104950,103110,104660,19678356.95,188.0217557
1.74856E+12,30-05-2025 00:00,BTC/USD,105590,106260,103460,104030,49177474.88,472.7239727
1.74848E+12,29-05-2025 00:00,BTC/USD,107760,108870,105300,105590,101413747.5,960.4484093
1.74839E+12,28-05-2025 00:00,BTC/USD,108850,109200,106750,107760,79629845.41,738.9555068
1.7483E+12,27-05-2025 00:00,BTC/USD,109400,110700,107510,108850,78335424.98,719.6639869
1.74822E+12,26-05-2025 00:00,BTC/USD,108890,110400,108550,109390,87804406.04,802.67306
1.74813E+12,25-05-2025 00:00,BTC/USD,107540,109180,106400,108860,46795997.44,429.8732081
1.74804E+12,24-05-2025 00:00,BTC/USD,107200,109420,106750,107540,92293503.44,858.2248786
1.74796E+12,23-05-2025 00:00,BTC/USD,111630,111690,106710,107230,98912193.15,922.4302262
1.74787E+12,22-05-2025 00:00,BTC/USD,109620,111880,109220,111640,88265373.17,790.6249836
1.74779E+12,21-05-2025 00:00,BTC/USD,106740,110690,106020,109640,97461458.54,888.9224603
1.7477E+12,20-05-2025 00:00,BTC/USD,105500,107230,104120,106730,76693516.99,718.5750678
1.74761E+12,19-05-2025 00:00,BTC/USD,106440,107070,102010,105470,69983870.49,663.5429078
1.74753E+12,18-05-2025 00:00,BTC/USD,103150,106590,103150,106430,54361494.24,510.7722845
1.74744E+12,17-05-2025 00:00,BTC/USD,103450,103670,102630,103140,18240710.48,176.8538926
1.74735E+12,16-05-2025 00:00,BTC/USD,103710,104510,103100,103450,19399445.08,187.5248437
1.74727E+12,15-05-2025 00:00,BTC/USD,103520,104180,101430,103700,36182998.22,348.9199442
1.74718E+12,14-05-2025 00:00,BTC/USD,104120,104300,102510,103550,21414365,206.8021729
1.74709E+12,13-05-2025 00:00,BTC/USD,102860,104980,101500,104140,38668376.49,371.31147
1.74701E+12,12-05-2025 00:00,BTC/USD,104080,105660,100810,102860,77837426.1,756.7317334
1.74692E+12,11-05-2025 00:00,BTC/USD,104740,104880,103310,104090,69897949.21,671.5145471
1.74684E+12,10-05-2025 00:00,BTC/USD,102940,104920,102800,104750,71696483.33,684.4533014
1.74675E+12,09-05-2025 00:00,BTC/USD,103270,104340,102330,102940,81302632.71,789.8060298
1.74666E+12,08-05-2025 00:00,BTC/USD,97145,104190,96980,103290,132783125.7,1285.537087
