date,eth_open,eth_high,eth_low,eth_close,eth_volume
2024-09-10,2358.497803,2398.503906,2323.071777,2389.581055,12795818970
2024-09-11,2389.60376,2389.718262,2279.053711,2339.841553,15355180967
2024-09-12,2339.84082,2390.186768,2316.157715,2361.781738,12162634681
2024-09-13,2361.740967,2462.802979,2338.144043,2441.607178,13759640866
2024-09-14,2441.580811,2442.63208,2386.979736,2418.595703,8170291680
2024-09-15,2418.266113,2430.383301,2286.628174,2320.897217,10155470375
2024-09-16,2320.894531,2334.789795,2253.715088,2295.283691,16819033263
2024-09-17,2295.284424,2392.14917,2263.792969,2341.707764,15356783863
2024-09-18,2341.73291,2369.729004,2278.664551,2369.729004,18159056422
2024-09-19,2369.374756,2492.20459,2369.374756,2464.752197,18437147349
2024-09-20,2464.782227,2571.992676,2439.37793,2561.072021,19112788620
2024-09-21,2560.879639,2621.622559,2530.837891,2615.857178,10797825021
2024-09-22,2615.848145,2632.039307,2528.522217,2582.862549,13180663011
2024-09-23,2582.774902,2701.677734,2541.9104,2648.546387,19912841456
2024-09-24,2648.482178,2671.275879,2593.1521,2654.35498,16658812503
2024-09-25,2654.361572,2672.461914,2557.724365,2579.388672,14119729962
2024-09-26,2579.217529,2665.992676,2559.954346,2632.199951,17336033595
2024-09-27,2632.241943,2728.067627,2616.950928,2695.900635,17023020294
2024-09-28,2695.815918,2704.928711,2652.250488,2677.539063,10252590559
2024-09-29,2677.628662,2683.445801,2635.584961,2659.346924,11126215671
2024-09-30,2659.292725,2662.489014,2576.976074,2603.062744,17826446789
2024-10-01,2603.26416,2657.615479,2415.078613,2448.921143,25482371785
2024-10-02,2448.877197,2498.121338,2354.539307,2365.231689,20148256472
2024-10-03,2365.213623,2402.862549,2311.027832,2349.79126,18051447791
2024-10-04,2349.73291,2440.242432,2339.87085,2414.793945,14879264082
2024-10-05,2414.847168,2427.517578,2390.844482,2415.631836,8152969183
2024-10-06,2415.531738,2456.630615,2407.099365,2439.957764,8458690205
2024-10-07,2439.944824,2520.40625,2405.134277,2421.796631,17414044416
2024-10-08,2421.980957,2464.127441,2400.510742,2439.84082,14067361080
2024-10-09,2439.840088,2470.913086,2350.946533,2368.283447,14954047093
2024-10-10,2368.273193,2417.288086,2329.784668,2383.85791,15327769940
2024-10-11,2383.940186,2470.395752,2380.504639,2436.513428,13489061564
2024-10-12,2436.515625,2488.237793,2434.202881,2476.523193,9372169184
2024-10-13,2476.520264,2484.129395,2436.969727,2467.677002,9189490605
2024-10-14,2467.647461,2652.881836,2443.552979,2628.899902,21434687898
2024-10-15,2629.017578,2685.166748,2537.940918,2606.021973,22003780898
2024-10-16,2606.019531,2644.854248,2589.606934,2611.102051,17012396419
2024-10-17,2611.192139,2646.874023,2577.305908,2604.273438,15150712321
2024-10-18,2604.814453,2674.371826,2595.958984,2641.552246,17043738652
2024-10-19,2641.488281,2661.872803,2631.656982,2648.656982,8557834553
2024-10-20,2648.665771,2756.436768,2635.945801,2746.364014,14559296242
2024-10-21,2746.305664,2765.549561,2655.294434,2665.712158,17328615363
2024-10-22,2665.656738,2669.790039,2605.618652,2620.19751,15541911074
2024-10-23,2620.088623,2624.450439,2457.169922,2509.098877,17876984551
2024-10-24,2523.606934,2559.151367,2506.7229,2534.498535,16128627601
2024-10-25,2534.454834,2563.734131,2381.450684,2435.934082,22560233078
2024-10-26,2436.050049,2503.230469,2427.461426,2479.603271,13597102184
2024-10-27,2479.937012,2523.171387,2462.271973,2505.940674,9801434566
2024-10-28,2505.590576,2587.430176,2470.268311,2565.348145,18971841402
2024-10-29,2565.417969,2680.054443,2560.153809,2637.95752,22185845095
2024-10-30,2637.640137,2720.271484,2600.609619,2657.372559,22382690746
2024-10-31,2657.213135,2667.55957,2501.572266,2515.799316,19760409505
2024-11-01,2515.870361,2583.7771,2467.819336,2511.885498,20215438328
2024-11-02,2512.208252,2522.360596,2471.955566,2491.068604,9639457439
2024-11-03,2491.094482,2495.436523,2411.398438,2456.425293,15667779706
2024-11-04,2456.095215,2488.350342,2359.578125,2397.026367,17110200696
2024-11-05,2397.036377,2478.618896,2380.601318,2422.650635,17894057485
2024-11-06,2422.539307,2743.964111,2421.812988,2724.169189,41887574364
2024-11-07,2724.005859,2918.744385,2701.59082,2895.585449,35352318438
2024-11-08,2895.5979,2983.744873,2889.484375,2962.296631,32303261101
2024-11-09,2962.791016,3156.366211,2957.182373,3131.144531,29210133088
2024-11-10,3130.729248,3249.914063,3073.248779,3191.331299,47418730187
2024-11-11,3191.656982,3389.529297,3109.769531,3374.812988,55417771668
2024-11-12,3375.154785,3444.154053,3211.198486,3246.257324,56686078066
2024-11-13,3244.543213,3337.877197,3121.666016,3192.595947,52010205682
2024-11-14,3192.520508,3240.270752,3032.971924,3058.94873,35743352141
2024-11-15,3059.526123,3130.703857,3016.144043,3103.040527,32701369872
2024-11-16,3089.73999,3218.0896,3073.286377,3133.273926,26650658846
2024-11-17,3133.306641,3160.152588,3039.246826,3075.661621,28348163224
2024-11-18,3075.7229,3225.130615,3052.491211,3207.856445,35445557613
2024-11-19,3208.250488,3222.004395,3070.362793,3111.384033,29823634432
2024-11-20,3111.116943,3159.949463,3032.603271,3072.187988,29785491216
2024-11-21,3072.055176,3388.542969,3035.84668,3361.053955,51619069348
2024-11-22,3360.654297,3428.460449,3262.808838,3331.60083,36775716442
2024-11-23,3331.645508,3499.37085,3317.654785,3396.223389,38835184688
2024-11-24,3396.999512,3451.802246,3288.430908,3363.659912,27901454185
2024-11-25,3364.601563,3545.278809,3304.093994,3413.543945,51544793988
2024-11-26,3412.950928,3461.292969,3255.542969,3326.517334,39902959158
2024-11-27,3326.029053,3687.009033,3303.567871,3657.249268,43383987191
2024-11-28,3656.609619,3664.878174,3531.870605,3579.811523,32362724276
2024-11-29,3579.910645,3647.264404,3538.446777,3593.494385,27622629486
2024-11-30,3593.598145,3739.934814,3572.25415,3705.705322,30670867436
2024-12-01,3706.619873,3747.455322,3663.234131,3711.165039,28018113530
2024-12-02,3710.495361,3761.343018,3557.252197,3644.198486,47284967570
2024-12-03,3643.742188,3670.219727,3504.226318,3620.71167,36839829742
2024-12-04,3620.037598,3895.174316,3617.744629,3841.331055,56799745752
2024-12-05,3840.844482,3956.541504,3683.420898,3811.008301,60568296606
2024-12-06,3792.208496,4093.172119,3782.681396,4005.810547,52853668566
2024-12-07,4006.028809,4029.452881,3974.17627,4002.692627,22574636761
2024-12-08,4007.690674,4018.0,3927.854004,4005.70459,20943378971
2024-12-09,4006.101807,4008.777832,3525.23291,3718.69043,57029832059
2024-12-10,3719.000488,3780.753418,3520.365234,3631.83374,58416417599
2024-12-11,3631.276123,3850.765381,3567.566406,3832.822021,35968053196
2024-12-12,3833.172119,3987.005859,3800.09082,3883.101563,42971675764
2024-12-13,3883.030029,3967.395264,3855.023682,3911.205322,34895127659
2024-12-14,3910.8479,3943.278076,3826.761963,3868.405273,28756190559
2024-12-15,3868.441162,3971.498047,3832.09668,3951.941162,25069616984
2024-12-16,3951.652832,4106.955566,3882.705322,3987.480957,46536359669
2024-12-17,3987.333984,4040.337891,3849.286621,3886.766113,35418700472
2024-12-18,3886.886963,3902.715576,3617.840576,3618.79126,48946681636
2024-12-19,3619.582031,3717.662354,3330.872559,3417.927979,58879190250
2024-12-20,3417.930176,3496.327393,3098.203613,3472.553467,66383827229
2024-12-21,3472.589111,3552.921631,3293.505615,3337.222412,31579389836
2024-12-22,3336.998779,3398.657471,3219.294922,3277.535156,24780768375
2024-12-23,3277.51416,3461.527832,3217.368652,3415.7854,34496081389
2024-12-24,3415.738037,3535.857666,3355.609131,3492.049805,23083678195
2024-12-25,3491.95752,3542.83374,3440.097168,3493.235352,17651873225
2024-12-26,3493.304199,3512.604492,3302.306396,3331.22583,22247726776
2024-12-27,3331.053711,3436.710693,3302.575684,3328.916992,24091627403
2024-12-28,3328.774658,3419.920166,3318.033936,3397.902344,14305648523
2024-12-29,3397.862549,3406.648438,3321.664795,3349.513428,13440907792
2024-12-30,3349.585938,3428.527344,3298.804443,3356.392578,26981583962
2024-12-31,3356.394775,3444.396729,3311.412598,3332.531738,20845452085
